symbol,name,exchange,current_price,analysis_date,investment_score,investment_reason,investment_period,target_price,target_deadline,stop_loss_condition,competitive_advantage,risk_level
600050,中国联通,SH,5.43,2025-07-14,100,市盈率16.3倍，估值合理; 市净率1.0倍，账面价值支撑强; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),8.145,2026-07-14,股价跌破4.62元(15%止损); 市盈率超过24.4倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 净资产支撑强，安全边际较高,low
601636,旗滨集团,SH,5.88,2025-07-14,100,市盈率8.4倍，估值合理; 市净率1.2倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),8.82,2026-07-14,股价跌破5.00元(15%止损); 市盈率超过12.6倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601611,中国核建,SH,9.59,2025-07-14,100,市盈率13.1倍，估值合理; 市净率1.4倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),14.385,2026-07-14,股价跌破8.15元(15%止损); 市盈率超过19.6倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
600295,鄂尔多斯,SH,9.41,2025-07-14,100,市盈率14.3倍，估值合理; 市净率1.3倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),14.115,2026-07-14,股价跌破8.00元(15%止损); 市盈率超过21.5倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
600998,九州通,SH,5.5,2025-07-14,100,市盈率7.2倍，估值合理; 市净率1.1倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),8.25,2026-07-14,股价跌破4.67元(15%止损); 市盈率超过10.7倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
600057,厦门象屿,SH,7.58,2025-07-14,100,市盈率10.4倍，估值合理; 市净率1.3倍，账面价值支撑强,长期持有(1-3年),11.370000000000001,2026-07-14,股价跌破6.44元(15%止损); 市盈率超过15.7倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
27,深圳能源,SZ,6.77,2025-07-14,100,市盈率6.0倍，估值合理; 市净率1.0倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),10.155,2026-07-14,股价跌破5.75元(15%止损); 市盈率超过8.9倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601665,齐鲁银行,SH,6.43,2025-07-14,100,市盈率6.0倍，估值合理; 市净率0.8倍，账面价值支撑强,长期持有(1-3年),9.645,2026-07-14,股价跌破5.47元(15%止损); 市盈率超过8.9倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601128,常熟银行,SH,7.59,2025-07-14,100,市盈率5.8倍，估值合理; 市净率0.9倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),11.385,2026-07-14,股价跌破6.45元(15%止损); 市盈率超过8.7倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
598,兴蓉环境,SZ,7.61,2025-07-14,100,市盈率11.2倍，估值合理; 市净率1.2倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),11.415000000000001,2026-07-14,股价跌破6.47元(15%止损); 市盈率超过16.8倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
2939,长城证券,SZ,8.86,2025-07-14,100,市盈率14.8倍，估值合理; 市净率1.2倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),13.29,2026-07-14,股价跌破7.53元(15%止损); 市盈率超过22.1倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601677,明泰铝业,SH,12.65,2025-07-14,100,市盈率8.9倍，估值合理; 市净率0.9倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),18.975,2026-07-14,股价跌破10.75元(15%止损); 市盈率超过13.4倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
600739,辽宁成大,SH,11.77,2025-07-14,100,市盈率13.0倍，估值合理; 市净率0.6倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),17.655,2026-07-14,股价跌破10.00元(15%止损); 市盈率超过19.4倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601825,沪农商行,SH,9.98,2025-07-14,100,市盈率6.8倍，估值合理; 市净率0.8倍，账面价值支撑强; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),14.97,2026-07-14,股价跌破8.48元(15%止损); 市盈率超过10.1倍; 连续三个交易日成交量萎缩超过50%,行业重要参与者，具备一定竞争优势; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
2936,郑州银行,SZ,2.23,2025-07-14,100,市盈率5.0倍，估值合理; 市净率0.5倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),3.3449999999999998,2026-07-14,股价跌破1.90元(15%止损); 市盈率超过7.5倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601601,中国太保,SH,38.36,2025-07-14,100,市盈率9.6倍，估值合理; 市净率1.4倍，账面价值支撑强; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),57.54,2026-07-14,股价跌破32.61元(15%止损); 市盈率超过14.4倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
1914,招商积余,SZ,12.3,2025-07-14,100,市盈率14.9倍，估值合理; 市净率1.2倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),18.450000000000003,2026-07-14,股价跌破10.46元(15%止损); 市盈率超过22.3倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
600926,杭州银行,SH,17.28,2025-07-14,100,市盈率5.2倍，估值合理; 市净率1.0倍，账面价值支撑强; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),25.92,2026-07-14,股价跌破14.69元(15%止损); 市盈率超过7.8倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601838,成都银行,SH,20.42,2025-07-14,100,市盈率7.2倍，估值合理; 市净率1.1倍，账面价值支撑强; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),30.630000000000003,2026-07-14,股价跌破17.36元(15%止损); 市盈率超过10.8倍; 连续三个交易日成交量萎缩超过50%,行业重要参与者，具备一定竞争优势; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
828,东莞控股,SZ,11.08,2025-07-14,100,市盈率13.1倍，估值合理; 市净率1.2倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),16.62,2026-07-14,股价跌破9.42元(15%止损); 市盈率超过19.7倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
600167,联美控股,SH,6.13,2025-07-14,100,市盈率5.6倍，估值合理; 市净率1.3倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),9.195,2026-07-14,股价跌破5.21元(15%止损); 市盈率超过8.4倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
563,陕国投Ａ,SZ,3.74,2025-07-14,100,市盈率12.4倍，估值合理; 市净率1.1倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),5.61,2026-07-14,股价跌破3.18元(15%止损); 市盈率超过18.5倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601009,南京银行,SH,11.64,2025-07-14,100,市盈率5.8倍，估值合理; 市净率0.8倍，账面价值支撑强; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),17.46,2026-07-14,股价跌破9.89元(15%止损); 市盈率超过8.7倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
600153,建发股份,SH,10.82,2025-07-14,100,市盈率13.4倍，估值合理; 市净率0.6倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),16.23,2026-07-14,股价跌破9.20元(15%止损); 市盈率超过20.1倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
2807,江阴银行,SZ,5.0,2025-07-14,100,市盈率8.6倍，估值合理; 市净率0.7倍，账面价值支撑强,长期持有(1-3年),7.5,2026-07-14,股价跌破4.25元(15%止损); 市盈率超过12.9倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
157,中联重科,SZ,7.41,2025-07-14,100,市盈率11.4倍，估值合理; 市净率1.1倍，账面价值支撑强; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),11.115,2026-07-14,股价跌破6.30元(15%止损); 市盈率超过17.0倍; 连续三个交易日成交量萎缩超过50%,行业重要参与者，具备一定竞争优势; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
600021,上海电力,SH,9.39,2025-07-14,100,市盈率8.0倍，估值合理; 市净率1.4倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),14.085,2026-07-14,股价跌破7.98元(15%止损); 市盈率超过12.0倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
630,铜陵有色,SZ,3.42,2025-07-14,100,市盈率9.7倍，估值合理; 市净率1.3倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),5.13,2026-07-14,股价跌破2.91元(15%止损); 市盈率超过14.5倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
600755,厦门国贸,SH,6.34,2025-07-14,100,市盈率8.2倍，估值合理; 市净率0.7倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),9.51,2026-07-14,股价跌破5.39元(15%止损); 市盈率超过12.2倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601860,紫金银行,SH,3.24,2025-07-14,100,市盈率7.0倍，估值合理; 市净率0.6倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),4.86,2026-07-14,股价跌破2.75元(15%止损); 市盈率超过10.5倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
2532,天山铝业,SZ,8.53,2025-07-14,100,市盈率9.4倍，估值合理; 市净率1.5倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),12.794999999999998,2026-07-14,股价跌破7.25元(15%止损); 市盈率超过14.1倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
581,威孚高科,SZ,19.25,2025-07-14,100,市盈率13.1倍，估值合理; 市净率1.0倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),28.875,2026-07-14,股价跌破16.36元(15%止损); 市盈率超过19.7倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
2142,宁波银行,SZ,28.2,2025-07-14,100,市盈率6.3倍，估值合理; 市净率0.9倍，账面价值支撑强; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),42.3,2026-07-14,股价跌破23.97元(15%止损); 市盈率超过9.4倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601326,秦港股份,SH,3.37,2025-07-14,100,市盈率11.2倍，估值合理; 市净率1.0倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),5.055,2026-07-14,股价跌破2.86元(15%止损); 市盈率超过16.8倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601658,邮储银行,SH,5.73,2025-07-14,100,市盈率6.8倍，估值合理; 市净率0.7倍，账面价值支撑强; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),8.595,2026-07-14,股价跌破4.87元(15%止损); 市盈率超过10.2倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
600919,江苏银行,SH,11.97,2025-07-14,100,市盈率5.6倍，估值合理; 市净率0.9倍，账面价值支撑强; 大盘股，流动性好，风险相对较低,长期持有(1-3年),17.955000000000002,2026-07-14,股价跌破10.17元(15%止损); 市盈率超过8.4倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601988,中国银行,SH,5.77,2025-07-14,100,市盈率8.6倍，估值合理; 市净率0.7倍，账面价值支撑强; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),8.655,2026-07-14,股价跌破4.90元(15%止损); 市盈率超过12.8倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601818,光大银行,SH,4.39,2025-07-14,100,市盈率5.2倍，估值合理; 市净率0.5倍，账面价值支撑强; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),6.584999999999999,2026-07-14,股价跌破3.73元(15%止损); 市盈率超过7.8倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
600928,西安银行,SH,4.14,2025-07-14,100,市盈率6.5倍，估值合理; 市净率0.6倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),6.209999999999999,2026-07-14,股价跌破3.52元(15%止损); 市盈率超过9.7倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
300677,英科医疗,SZ,27.17,2025-07-14,100,市盈率12.4倍，估值合理; 市净率1.0倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),40.755,2026-07-14,股价跌破23.09元(15%止损); 市盈率超过18.5倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
2091,江苏国泰,SZ,7.38,2025-07-14,100,市盈率12.4倍，估值合理; 市净率0.8倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),11.07,2026-07-14,股价跌破6.27元(15%止损); 市盈率超过18.6倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601528,瑞丰银行,SH,6.05,2025-07-14,100,市盈率7.0倍，估值合理; 市净率0.6倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),9.075,2026-07-14,股价跌破5.14元(15%止损); 市盈率超过10.5倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
600064,南京高科,SH,8.02,2025-07-14,100,市盈率5.0倍，估值合理; 市净率0.7倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),12.03,2026-07-14,股价跌破6.82元(15%止损); 市盈率超过7.5倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
333,美的集团,SZ,73.1,2025-07-14,100,市盈率11.3倍，估值合理; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),109.64999999999999,2026-07-14,股价跌破62.13元(15%止损); 市盈率超过16.9倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性,low
601398,工商银行,SH,7.85,2025-07-14,100,市盈率8.3倍，估值合理; 市净率0.8倍，账面价值支撑强; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),11.774999999999999,2026-07-14,股价跌破6.67元(15%止损); 市盈率超过12.5倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
875,吉电股份,SZ,5.36,2025-07-14,100,市盈率7.8倍，估值合理; 市净率1.1倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),8.040000000000001,2026-07-14,股价跌破4.56元(15%止损); 市盈率超过11.7倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
2839,张家港行,SZ,4.8,2025-07-14,100,市盈率5.2倍，估值合理; 市净率0.7倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),7.199999999999999,2026-07-14,股价跌破4.08元(15%止损); 市盈率超过7.8倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601998,中信银行,SH,8.7,2025-07-14,100,市盈率6.2倍，估值合理; 市净率0.7倍，账面价值支撑强; 大盘股，流动性好，风险相对较低,长期持有(1-3年),13.049999999999999,2026-07-14,股价跌破7.39元(15%止损); 市盈率超过9.3倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601006,大秦铁路,SH,6.49,2025-07-14,100,市盈率12.7倍，估值合理; 市净率0.8倍，账面价值支撑强; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),9.735,2026-07-14,股价跌破5.52元(15%止损); 市盈率超过19.1倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
600018,上港集团,SH,5.83,2025-07-14,100,市盈率8.7倍，估值合理; 市净率1.0倍，账面价值支撑强; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),8.745000000000001,2026-07-14,股价跌破4.96元(15%止损); 市盈率超过13.0倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
600757,长江传媒,SH,9.83,2025-07-14,100,市盈率7.4倍，估值合理; 市净率1.3倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),14.745000000000001,2026-07-14,股价跌破8.36元(15%止损); 市盈率超过11.1倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
783,长江证券,SZ,7.23,2025-07-14,100,市盈率10.2倍，估值合理; 市净率1.2倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),10.845,2026-07-14,股价跌破6.15元(15%止损); 市盈率超过15.3倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
2061,浙江交科,SZ,4.09,2025-07-14,100,市盈率12.3倍，估值合理; 市净率0.7倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),6.135,2026-07-14,股价跌破3.48元(15%止损); 市盈率超过18.5倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
600582,天地科技,SH,6.28,2025-07-14,100,市盈率4.5倍，估值合理; 市净率1.1倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),9.42,2026-07-14,股价跌破5.34元(15%止损); 市盈率超过6.8倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
600956,新天绿能,SH,7.88,2025-07-14,100,市盈率8.7倍，估值合理; 市净率1.5倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),11.82,2026-07-14,股价跌破6.70元(15%止损); 市盈率超过13.0倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
987,越秀资本,SZ,7.51,2025-07-14,100,市盈率14.3倍，估值合理; 市净率1.3倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),11.265,2026-07-14,股价跌破6.38元(15%止损); 市盈率超过21.5倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
600011,华能国际,SH,7.16,2025-07-14,100,市盈率5.7倍，估值合理; 市净率1.8倍，账面价值支撑强; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),10.74,2026-07-14,股价跌破6.09元(15%止损); 市盈率超过8.5倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性,low
603225,新凤鸣,SH,11.18,2025-07-14,100,市盈率13.9倍，估值合理; 市净率1.0倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),16.77,2026-07-14,股价跌破9.50元(15%止损); 市盈率超过20.9倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601169,北京银行,SH,7.05,2025-07-14,100,市盈率4.9倍，估值合理; 市净率0.6倍，账面价值支撑强; 大盘股，流动性好，风险相对较低,长期持有(1-3年),10.575,2026-07-14,股价跌破5.99元(15%止损); 市盈率超过7.3倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
603323,苏农银行,SH,5.74,2025-07-14,100,市盈率6.6倍，估值合理; 市净率0.6倍，账面价值支撑强,长期持有(1-3年),8.61,2026-07-14,股价跌破4.88元(15%止损); 市盈率超过9.9倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
601211,国泰海通,SH,19.75,2025-07-14,100,市盈率7.1倍，估值合理; 市净率1.1倍，账面价值支撑强; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),29.625,2026-07-14,股价跌破16.79元(15%止损); 市盈率超过10.7倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
338,潍柴动力,SZ,15.39,2025-07-14,100,市盈率12.4倍，估值合理; 市净率1.5倍，账面价值支撑强; 大盘股，流动性好，风险相对较低; 年内表现稳健，波动适中,长期持有(1-3年),23.085,2026-07-14,股价跌破13.08元(15%止损); 市盈率超过18.6倍; 连续三个交易日成交量萎缩超过50%,行业龙头地位，市场份额稳定; 估值偏低，具备价值投资属性,low
2608,江苏国信,SZ,7.85,2025-07-14,100,市盈率8.6倍，估值合理; 市净率0.9倍，账面价值支撑强; 年内表现稳健，波动适中,长期持有(1-3年),11.774999999999999,2026-07-14,股价跌破6.67元(15%止损); 市盈率超过12.9倍; 连续三个交易日成交量萎缩超过50%,估值偏低，具备价值投资属性; 净资产支撑强，安全边际较高,low
