股票代码,股票名称,交易所,所属行业,当前价格(元),PE估值(倍),PB估值(倍),综合评分,投资建议,风险等级,成长潜力,目标价-高(元),目标价-低(元),20日均线,60日均线,近1月涨跌(%),近3月涨跌(%),年化波动率(%),建议持有期,预期收益率,止损条件,投资逻辑,风险因素,竞品分析,失败判定条件,分析日期
600887,伊利股份,SH,食品饮料,22.4,39.6,3.38,82,强烈推荐,中,稳定,27.47,18.69,21.21,20.92,10.96,1.9,27.3,1-3年,20-40%,股价跌破18.69元，或较买入价下跌15%,品牌护城河深厚，消费升级趋势延续，现金流优质，分红稳定,消费需求疲软；原材料成本上涨；渠道库存积压,贵州茅台、五粮液、海天味业、伊利股份 | 竞争要素：品牌溢价、渠道掌控、定价权,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；股价有效跌破止损位且基本面持续恶化,2026-03-21
301305,朗坤科技,SZ,科技,12.4,59.8,7.21,82,强烈推荐,高,高,14.67,10.68,11.74,11.59,8.5,1.35,22.6,6-18个月,20-40%,股价跌破10.68元，或较买入价下跌15%,数字经济深化，AI与云计算渗透率持续提升，国产替代空间广阔,技术迭代加速，竞争格局恶化；研发投入回报不确定；估值偏高,华为（非上市）、中兴通讯、海康威视 | 竞争要素：研发投入、专利壁垒、生态建设,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；核心技术被替代或主要客户流失超30%；PE估值超过90倍且业绩增速低于20%；股价有效跌破止损位且基本面持续恶化,2026-03-21
600438,通威股份,SH,新能源,9.2,53.7,6.11,80,强烈推荐,高,很高,11.86,8.33,9.28,9.12,0.0,15.5,32.7,6-18个月,20-40%,股价跌破8.33元，或较买入价下跌15%,碳中和政策持续推进，全球装机需求旺盛，技术降本趋势明确,产能过剩加剧价格竞争；补贴退坡影响盈利；技术路线切换风险,宁德时代、比亚迪、隆基绿能、通威股份 | 竞争要素：技术路线、成本控制、产能规模,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；核心产品价格战导致毛利率跌破10%；PE估值超过81倍且业绩增速低于20%；股价有效跌破止损位且基本面持续恶化,2026-03-21
688981,中芯国际,SH,半导体,18.6,60.7,3.92,79,推荐,很高,很高,23.03,15.96,19.44,19.54,-5.9,-12.03,33.0,6-18个月,15-30%,股价跌破15.96元，或较买入价下跌15%,国产替代加速推进，先进制程持续突破，政策资金持续扶持,技术封锁与出口管制风险；研发周期长，资本开支压力大；良率爬坡,中芯国际、华虹半导体、紫光国微 | 竞争要素：制程节点、良率、客户资源,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；先进制程研发失败或客户流失超30%；PE估值超过91倍且业绩增速低于20%；股价有效跌破止损位且基本面持续恶化,2026-03-21
300750,宁德时代,SZ,新能源,210.5,46.8,2.91,79,推荐,高,很高,265.4,190.12,211.78,214.26,1.08,-0.13,26.5,6-18个月,15-30%,股价跌破190.12元，或较买入价下跌15%,碳中和政策持续推进，全球装机需求旺盛，技术降本趋势明确,产能过剩加剧价格竞争；补贴退坡影响盈利；技术路线切换风险,宁德时代、比亚迪、隆基绿能、通威股份 | 竞争要素：技术路线、成本控制、产能规模,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；核心产品价格战导致毛利率跌破10%；PE估值超过70倍且业绩增速低于20%；股价有效跌破止损位且基本面持续恶化,2026-03-21
600519,贵州茅台,SH,食品饮料,1480.0,22.4,2.07,79,推荐,中,稳定,1831.22,1279.14,1499.9,1475.13,1.48,4.81,28.0,1-3年,15-30%,股价跌破1279.14元，或较买入价下跌15%,品牌护城河深厚，消费升级趋势延续，现金流优质，分红稳定,消费需求疲软；原材料成本上涨；渠道库存积压,贵州茅台、五粮液、海天味业、伊利股份 | 竞争要素：品牌溢价、渠道掌控、定价权,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；股价有效跌破止损位且基本面持续恶化,2026-03-21
600019,宝钢股份,SH,钢铁,6.2,9.2,1.43,77,推荐,中高,周期,7.33,5.12,5.78,5.78,8.2,6.85,26.3,6-18个月,15-30%,股价跌破5.12元，或较买入价下跌15%,供给侧约束强化，需求端基建托底，周期底部估值具备安全边际,需求下行超预期；产能过剩加剧；环保政策收紧,宝钢股份、鞍钢股份、华菱钢铁 | 竞争要素：产品结构、成本控制、客户资源,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；股价有效跌破止损位且基本面持续恶化,2026-03-21
601888,中国中免,SH,零售,68.5,25.2,3.88,75,推荐,中高,中,79.2,57.95,66.48,64.33,10.52,7.68,28.0,6-18个月,15-30%,股价跌破57.95元，或较买入价下跌15%,消费复苏带动客流回升，免税政策红利持续，渠道下沉拓展空间,消费复苏不及预期；竞争对手扩张；政策调整影响免税红利,中国中免、王府井、百联股份 | 竞争要素：牌照资源、选址优势、品牌招商,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；股价有效跌破止损位且基本面持续恶化,2026-03-21
002415,海康威视,SZ,科技,28.9,32.4,7.91,74,推荐,高,高,34.12,25.14,31.48,29.82,-4.25,-6.09,28.7,6-18个月,15-30%,股价跌破25.14元，或较买入价下跌15%,数字经济深化，AI与云计算渗透率持续提升，国产替代空间广阔,技术迭代加速，竞争格局恶化；研发投入回报不确定；估值偏高,华为（非上市）、中兴通讯、海康威视 | 竞争要素：研发投入、专利壁垒、生态建设,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；核心技术被替代或主要客户流失超30%；股价有效跌破止损位且基本面持续恶化,2026-03-21
600900,长江电力,SH,电力,26.8,10.1,0.85,74,推荐,低,稳定,35.61,22.41,28.01,26.98,-4.92,5.46,30.7,1-3年,15-30%,股价跌破22.41元，或较买入价下跌15%,电价改革推进，绿电溢价逐步体现，现金流稳定，分红率高,煤价波动影响火电盈利；电价改革进度不及预期；资本开支压力,长江电力、华能国际、国电电力 | 竞争要素：装机结构、电价水平、资本开支效率,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；股价有效跌破止损位且基本面持续恶化,2026-03-21
600276,恒瑞医药,SH,医药,28.5,48.8,2.36,73,推荐,中高,高,33.91,25.81,28.63,29.65,-1.78,-4.39,18.1,6-18个月,15-30%,股价跌破25.81元，或较买入价下跌15%,人口老龄化驱动刚性需求，创新药研发管线丰富，出海拓展打开增量,集采降价压力持续；核心品种专利到期；研发失败风险,恒瑞医药、药明康德、迈瑞医疗、云南白药 | 竞争要素：研发管线、销售网络、注册资质,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；核心品种集采中标价格降幅超过70%；PE估值超过73倍且业绩增速低于20%；股价有效跌破止损位且基本面持续恶化,2026-03-21
000333,美的集团,SZ,家电,52.3,23.9,3.58,72,推荐,中,中,65.25,47.1,51.65,46.55,3.29,40.99,30.2,6-18个月,15-30%,股价跌破47.1元，或较买入价下跌15%,以旧换新政策催化内需，出海拓展打开增量空间，盈利能力稳健,房地产下行拖累需求；原材料成本压力；海外市场竞争加剧,美的集团、格力电器、海尔智家 | 竞争要素：品牌、渠道、海外市场份额,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；股价有效跌破止损位且基本面持续恶化,2026-03-21
000002,万科A,SZ,房地产,6.85,6.1,0.51,71,推荐,高,低,8.95,5.68,6.75,6.43,2.22,17.1,33.8,6-18个月,15-30%,股价跌破5.68元，或较买入价下跌15%,政策底部已现，优质房企资产负债表修复，核心城市需求韧性较强,行业去杠杆持续；销售回款风险；融资渠道受限,万科A、保利发展、中海地产、华润置地 | 竞争要素：土储质量、融资成本、销售去化,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；流动性危机导致债务违约或评级下调；股价有效跌破止损位且基本面持续恶化,2026-03-21
603288,海天味业,SH,食品饮料,35.6,21.6,6.9,70,推荐,中,稳定,45.65,32.39,35.96,36.86,-3.6,-10.12,32.0,1-3年,15-30%,股价跌破32.39元，或较买入价下跌15%,品牌护城河深厚，消费升级趋势延续，现金流优质，分红稳定,消费需求疲软；原材料成本上涨；渠道库存积压,贵州茅台、五粮液、海天味业、伊利股份 | 竞争要素：品牌溢价、渠道掌控、定价权,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；股价有效跌破止损位且基本面持续恶化,2026-03-21
600009,上海机场,SH,交通运输,42.1,20.4,1.14,69,谨慎推荐,中,稳定,52.99,37.8,43.87,44.24,-3.44,-5.72,29.5,6-18个月,8-15%,股价跌破37.8元，或较买入价下跌15%,出行需求稳步恢复，航空客座率持续改善，免税消费弹性释放,油价上涨侵蚀利润；宏观经济下行影响出行需求；汇率波动,上海机场、白云机场、首都机场 | 竞争要素：客流量、商业化能力、免税收益,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；股价有效跌破止损位且基本面持续恶化,2026-03-21
000538,云南白药,SZ,医药,55.8,38.4,7.75,69,谨慎推荐,中高,高,73.37,45.77,57.21,62.48,-9.3,-13.97,27.8,6-18个月,8-15%,股价跌破45.77元，或较买入价下跌15%,人口老龄化驱动刚性需求，创新药研发管线丰富，出海拓展打开增量,集采降价压力持续；核心品种专利到期；研发失败风险,恒瑞医药、药明康德、迈瑞医疗、云南白药 | 竞争要素：研发管线、销售网络、注册资质,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；核心品种集采中标价格降幅超过70%；股价有效跌破止损位且基本面持续恶化,2026-03-21
600728,佳都科技,SH,科技,7.3,56.2,7.77,69,谨慎推荐,高,高,9.59,6.35,7.48,7.38,1.78,2.16,29.1,6-18个月,8-15%,股价跌破6.35元，或较买入价下跌15%,数字经济深化，AI与云计算渗透率持续提升，国产替代空间广阔,技术迭代加速，竞争格局恶化；研发投入回报不确定；估值偏高,华为（非上市）、中兴通讯、海康威视 | 竞争要素：研发投入、专利壁垒、生态建设,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；核心技术被替代或主要客户流失超30%；PE估值超过84倍且业绩增速低于20%；股价有效跌破止损位且基本面持续恶化,2026-03-21
600031,三一重工,SH,机械,18.9,23.5,1.14,66,谨慎推荐,中,中,24.09,16.39,19.84,19.15,-7.89,-3.53,27.6,6-18个月,8-15%,股价跌破16.39元，或较买入价下跌15%,高端装备国产化提速，出口竞争力持续增强，基建投资提供支撑,基建投资不及预期；海外市场贸易壁垒；原材料价格波动,三一重工、中联重科、徐工机械 | 竞争要素：产品谱系、海外拓展、服务网络,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；股价有效跌破止损位且基本面持续恶化,2026-03-21
000625,长安汽车,SZ,汽车,10.2,12.9,1.75,65,谨慎推荐,中高,转型,11.73,9.27,10.26,10.27,2.5,1.14,29.9,6-18个月,8-15%,股价跌破9.27元，或较买入价下跌15%,新能源汽车渗透率持续提升，智能化竞争格局重塑，出口拓展新增量,新能源竞争加剧；原材料价格波动；出口贸易摩擦,比亚迪、上汽集团、长安汽车、吉利汽车 | 竞争要素：电动化转型速度、智能化水平、出口能力,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；股价有效跌破止损位且基本面持续恶化,2026-03-21
000725,京东方A,SZ,科技,4.12,42.8,7.22,64,谨慎推荐,高,高,4.79,3.73,4.25,4.74,-11.62,-24.68,39.3,6-18个月,8-15%,股价跌破3.73元，或较买入价下跌15%,数字经济深化，AI与云计算渗透率持续提升，国产替代空间广阔；近三个月回调24.7%，性价比凸显,技术迭代加速，竞争格局恶化；研发投入回报不确定；估值偏高,华为（非上市）、中兴通讯、海康威视 | 竞争要素：研发投入、专利壁垒、生态建设,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；核心技术被替代或主要客户流失超30%；PE估值超过64倍且业绩增速低于20%；股价有效跌破止损位且基本面持续恶化,2026-03-21
600030,中信证券,SH,证券,22.5,16.2,1.53,63,谨慎推荐,中高,周期,25.68,19.78,23.58,23.61,-11.12,-5.05,25.2,6-18个月,8-15%,股价跌破19.78元，或较买入价下跌15%,资本市场改革深化，财富管理业务快速扩张，经纪业务数字化转型提升效率,市场成交量萎缩影响经纪收入；自营投资波动；监管政策收紧,中信证券、国泰君安、华泰证券 | 竞争要素：投行实力、财富管理规模、机构业务,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；股价有效跌破止损位且基本面持续恶化,2026-03-21
000858,五粮液,SZ,食品饮料,128.0,43.1,5.27,60,谨慎推荐,中,稳定,148.17,114.23,137.87,147.04,-18.5,-9.19,28.0,1-3年,8-15%,股价跌破114.23元，或较买入价下跌15%,品牌护城河深厚，消费升级趋势延续，现金流优质，分红稳定,消费需求疲软；原材料成本上涨；渠道库存积压,贵州茅台、五粮液、海天味业、伊利股份 | 竞争要素：品牌溢价、渠道掌控、定价权,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；PE估值超过65倍且业绩增速低于20%；股价有效跌破止损位且基本面持续恶化,2026-03-21
601600,中国铝业,SH,有色金属,4.85,12.7,2.5,59,观望,高,周期,5.74,4.11,4.87,4.96,-10.32,-2.16,32.7,6-18个月,8-15%,股价跌破4.11元，或较买入价下跌15%,全球能源转型带动铜铝需求，供给端扰动频繁，价格中枢上移,全球经济衰退压制需求；美元走强压制大宗商品价格；能源成本上升,中国铝业、铜陵有色、紫金矿业 | 竞争要素：资源储量、冶炼成本、产品品质,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；股价有效跌破止损位且基本面持续恶化,2026-03-21
600048,保利发展,SH,房地产,8.4,7.1,0.72,57,观望,高,低,10.4,7.47,8.63,9.46,-7.83,-9.53,32.0,6-18个月,8-15%,股价跌破7.47元，或较买入价下跌15%,政策底部已现，优质房企资产负债表修复，核心城市需求韧性较强,行业去杠杆持续；销售回款风险；融资渠道受限,万科A、保利发展、中海地产、华润置地 | 竞争要素：土储质量、融资成本、销售去化,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；流动性危机导致债务违约或评级下调；股价有效跌破止损位且基本面持续恶化,2026-03-21
600104,上汽集团,SH,汽车,14.8,18.1,1.98,55,观望,中高,转型,17.31,12.32,16.4,16.17,-10.67,-23.1,29.6,6-18个月,8-15%,股价跌破12.32元，或较买入价下跌15%,新能源汽车渗透率持续提升，智能化竞争格局重塑，出口拓展新增量；近三个月回调23.1%，性价比凸显,新能源竞争加剧；原材料价格波动；出口贸易摩擦,比亚迪、上汽集团、长安汽车、吉利汽车 | 竞争要素：电动化转型速度、智能化水平、出口能力,连续两个季度净利润同比下滑超过20%；出现重大财务造假或违规事件；股价有效跌破止损位且基本面持续恶化,2026-03-21
